291;Kuhmoinen;Kuhmoinen;1166;1218;2384;
295;Kumlinge;Kumlinge;176;155;331;
297;Kuopio;Kuopio;51810;55181;106991;
300;Kuortane;Kuortane;1940;1841;3781;
301;Kurikka;Kurikka;7106;7099;14205;
304;Kustavi;Gustavs;450;431;881;
305;Kuusamo;Kuusamo;8039;7807;15846;
312;Kyyjärvi;Kyyjärvi;711;694;1405;
316;Kärkölä;Kärkölä;2362;2326;4688;
317;Kärsämäki;Kärsämäki;1391;1309;2700;
318;Kökar;Kökar;139;113;252;
319;Köyliö;Kjulo;1365;1304;2669;
398;Lahti;Lahtis;49331;54352;103683;
399;Laihia;Laihela;4050;4019;8069;
400;Laitila;Laitila;4206;4309;8515;
407;Lapinjärvi;Lappträsk;1399;1394;2793;
402;Lapinlahti;Lapinlahti;5117;5020;10137;
403;Lappajärvi;Lappajärvi;1636;1663;3299;
405;Lappeenranta;Villmanstrand;35753;36787;72540;
408;Lapua;Lappo;7288;7442;14730;
410;Laukaa;Laukaa;9407;9296;18703;
413;Lavia;Lavia;955;944;1899;
416;Lemi;Lemi;1647;1479;3126;
417;Lemland;Lemland;995;954;1949;
418;Lempäälä;Lempäälä;11051;11133;22184;
420;Leppävirta;Leppävirta;5098;4982;10080;
421;Lestijärvi;Lestijärvi;412;399;811;
422;Lieksa;Lieksa;6209;5963;12172;
423;Lieto;Lundo;8573;8614;17187;
425;Liminka;Limingo;4963;4752;9715;
426;Liperi;Liperi;6271;6136;12407;
444;Lohja;Lojo;23529;24241;47770;
430;Loimaa;Loimaa;8225;8473;16698;
433;Loppi;Loppi;4283;4040;8323;
434;Loviisa;Lovisa;7735;7754;15489;
435;Luhanka;Luhanka;410;357;767;
436;Lumijoki;Lumijoki;1066;1004;2070;
438;Lumparland;Lumparland;217;199;416;
440;Luoto;Larsmo;2620;2487;5107;
441;Luumäki;Luumäki;2521;2457;4978;
442;Luvia;Luvia;1700;1654;3354;
475;Maalahti;Malax;2841;2737;5578;
476;Maaninka;Maaninka;1926;1842;3768;
478;Maarianhamina;Mariehamn;5523;6018;11541;
480;Marttila;Marttila;1043;1013;2056;
481;Masku;Masku;4899;4821;9720;
483;Merijärvi;Merijärvi;637;523;1160;
484;Merikarvia;Sastmola;1612;1629;3241;
489;Miehikkälä;Miehikkälä;1087;1047;2134;
491;Mikkeli;S:t Michel;26624;28038;54662;
494;Muhos;Muhos;4569;4431;9000;
